c_category,c_func,c_name,c_data_type,c_value_type,c_choice,c_database,c_unit,remark,c_module,c_range,c_address
InsFlow,6001231,瞬时流量,Inst,2,,,m3/h,,,,
ITemp,6001232,瞬时温度,Inst,2,,,℃,,,,
UserNum,6001233,瞬时用气户数,Num,,,,户,,,,
GasConsumFlow,6001234,瞬时用气量,Num,,,,m3/h,,,,
WaterConsumFlow,6001235,瞬时用水量,Num,,,,m3/h,,,,
PhaseI,6001236,瞬时相电流,Inst,2,,,A,,,,
IHeatConsumP,6001237,瞬时耗热量,Inst,2,,,kW,,,,
IOzoneGenerateFlow,6001238,瞬时臭氧产量,Inst,2,,,mol/h,,,,
ICoolStoreP,6001239,瞬时蓄冷量,Inst,2,,,kW,,,,
HeatStoreP,6001240,瞬时蓄热量,Inst,2,,,kW,,,,
InWaterPress,6001241,瞬时进口压力,Inst,2,,,MPa,,,,
AirTemp,6001242,瞬时风温,Inst,2,,,℃,,,,
WindSpeed,6001243,瞬时风速,Inst,2,,,m/s,,,,
InstantWindV,6001244,瞬时风量,Inst,2,,,m3/h,,,,
ShortLoopProtect,6001245,短路保护,Boolv,,"{""type"":""str"",""map"":{""0"":""正常"",""1"":""保护""}}",,,,,,
GlassBrStatus,6001246,破玻璃按钮状态,Boolv,,"{""type"":""str"",""map"":{""0"":""关闭"",""1"":""开启""}}",,,,,,
TireBreakStatus,6001247,破胎器状态,Boolv,,"{""type"":""str"",""map"":{""0"":""降落"",""1"":""升起""}}",,,,,,
CarbonCrystalTemp,6001248,碳晶板温度,Inst,2,,,℃,,,,
ExitFlow,6001249,离开人流量,Num,,,,人次/min,,,,
LeaseType,6001250,租赁性质,Enumv,,"{""type"":""str"",""map"":{""1"":""办公"",""2"":""展厅"",""3"":""会议"",""99"":""其他""}}",,,,,,
SteadyFlowTankInPress,6001251,稳流罐入口水压,Inst,2,,,MPa,,,,
SteadyFlowTankWaterLev,6001252,稳流罐水位,Inst,2,,,m,,,,
SteadyFlowTankVacuum,6001253,稳流罐真空度,Inst,2,,,MPa,,,,
CO2,6001254,空气CO2浓度,Inst,2,,,ppm,,,,
CO,6001255,空气CO浓度,Inst,2,,,ppm,,,,
PM10,6001256,空气PM10浓度,Inst,2,,,mg/m3,,,,
PM2d5,6001257,空气PM2.5浓度,Inst,2,,,mg/m3,,,,
VOC,6001258,空气VOC浓度,Inst,2,,,ppm,,,,
WindVx,6001259,空气X向风速,Inst,2,,,m/s,,,,
WindVy,6001260,空气Y向风速,Inst,2,,,m/s,,,,
WindVz,6001261,空气Z向风速,Inst,2,,,m/s,,,,
AirPress,6001262,空气压力,Inst,2,,,MPa,,,,
AirD,6001263,空气含湿量,Inst,2,,,g/kg.dra,,,,
Rou,6001264,空气密度,Inst,2,,,kg/m3,,,,
WindAveV,6001265,空气平均风速,Inst,2,,,m/s,,,,
H,6001266,空气比焓,Inst,2,,,kJ/kg.dra,,,,
Twb,6001267,空气湿球温度,Inst,2,,,℃,,,,
Dust,6001268,空气烟尘浓度,Inst,2,,,mg/m3,,,,
CH4,6001269,空气甲烷浓度,Inst,2,,,ppm,,,,
HCHO,6001270,空气甲醛浓度,Inst,2,,,ppm,,,,
AirRH,6001271,空气相对湿度,Inst,2,,,%RH,,,"[{""type"":""合格"",""grade"":0,""max"":60,""min"":40,""color"":""#49dbdf""},{""type"":""干燥"",""grade"":-1,""max"":40,""min"":null,""color"":""#fdb664""},{""type"":""潮湿"",""grade"":1,""max"":null,""min"":60,""color"":""#5f7af7""}]",
AQI,6001272,空气质量指数,Inst,2,,,,,,,
Td,6001273,空气露点温度,Inst,2,,,℃,,,,
Tdb,6001274,空气（干球）温度,Inst,2,,,℃,,,"[{""type"":""合格"",""grade"":0,""max"":28,""min"":18,""color"":""#49dbdf""},{""type"":""过冷"",""grade"":-1,""max"":18,""min"":15,""color"":""#099dfb""},{""type"":""过热"",""grade"":1,""max"":31,""min"":28,""color"":""#fa7753""},{""type"":""严重过冷"",""grade"":-2,""max"":null,""min"":15,""color"":""#5f7af7""},{""type"":""严重过热"",""grade"":2,""max"":null,""min"":31,""color"":""#ff5757""}]",
ACWaterOutPress,6001275,空调出水压力,Inst,2,,,MPa,,,,
CCHRunMode,6001276,空调热泵运行模式,Enumv,,"{""type"":""str"",""map"":{""1"":""制冷"",""2"":""制热"",""99"":""其他""}}",,,,,,
CrossAirV,6001277,空调箱截面风速,Inst,2,,,m/s,,,,
AHUResistance,6001278,空调箱阻力,Inst,2,,,Pa,,,,
ATWorkMode,6001279,空调运行模式,Enumv,,"{""type"":""str"",""map"":{""1"":""制冷"",""2"":""制热"",""3"":""通风"",""4"":""除湿"",""99"":""其他""}}",,,,,,
ACWaterInPress,6001280,空调进水压力,Inst,2,,,MPa,,,,
ACWindPress,6001281,空调送风压力,Inst,2,,,Pa,,,,
ACWindTemp,6001282,空调送风温度,Inst,2,,,℃,,,,
ACWindRH,6001283,空调送风相对湿度,Inst,2,,,%RH,,,,
ACWindFlow,6001284,空调送风量,Inst,2,,,m3/h,,,,
SpaceState,6001285,空间状态,Enum,,"{""type"":""str"",""map"":{""1"":""闲置"",""2"":""自用"",""3"":""出租"",""99"":""其他""}}",,,,,,
SpaceCombinationPredictData,6001286,空间组合预测数据,Num,,,,,,,,
PortThroughput,6001287,端口吞吐量,Inst,2,,,Mpps,,,,
PipePressure,6001288,管内压力,Num,,,,,,,,
TankInTemp,6001289,箱内温度,Inst,2,,,℃,,,,
GridWasteWaterFlow,6001290,粗格栅处污水流量,Num,,,,m3/h,,,,
GridWasteWaterTemp,6001291,粗格栅处污水温度,Num,,,,℃,,,,
SysCPUUtilRatioIn1m,6001292,系统1分钟内CPU使用率,Inst,2,,,%,,,,
SysCPUMaxUtilRatioIn1m,6001293,系统1分钟内CPU最高使用率,Inst,2,,,%,,,,
SysCPUUtilRatioIn5m,6001294,系统5分钟内CPU使用率,Inst,2,,,%,,,,
SysCPUMaxUtilRatioIn5m,6001295,系统5分钟内CPU最高使用率,Inst,2,,,%,,,,
SysCPUUtilRatioIn5s,6001296,系统5秒内CPU使用率,Inst,2,,,%,,,,
SysCPUMaxUtilRatioIn5s,6001297,系统5秒内CPU最高使用率,Inst,2,,,%,,,,
SysCOP,6001298,系统COP,Num,,,,,,,,
SysIPLV,6001299,系统IPLV,Num,,,,,,,,
HeatSysEff,6001300,系统加热效率,Num,,,,%,,,,
SysCycleWaterFlow,6001301,系统循环水量,Num,,,,m3/h,,,,
SysTotWaterVolume,6001302,系统总水量,Num,,,,m3,,,,
SysAccElecConsum,6001303,系统累计耗电量,Num,,,,kWh,,,,
