c_category,c_func,c_name,c_data_type,c_value_type,c_choice,c_database,c_unit,remark,c_module,c_range,c_address
LoadCtrlTripProtect,6001479,负控跳闸保护,Boolv,,"{""type"":""str"",""map"":{""0"":""正常"",""1"":""保护""}}",,,,,,
LoadSwitchStatus,6001480,负荷开关状态,Bool,,"{""type"":""str"",""map"":{""0"":""分闸"",""1"":""合闸""}}",,,,,,
LoadSize,6001481,负载大小,Inst,2,,,W,,,,
LoadRate,6001482,负载负荷率,Inst,2,,,%,,,,
CleanPeriod,6001483,距上次污泥清挖时间,Acc,,,,天,,,,
TripAbnormityAlarm,6001484,跳位异常告警,Bool,,"{""type"":""str"",""map"":{""0"":""正常"",""1"":""报警""}}",,,,,,
isOccupy,6001485,车位是否占用,Boolv,,"{""type"":""str"",""map"":{""0"":""未占用"",""1"":""已占用""}}",,,,,,
ParkinglotStatus,6001486,车位状态,Boolv,,"{""type"":""str"",""map"":{""0"":""空闲"",""1"":""占用""}}",,,,,,
ConvEff,6001487,转换效率,Inst,2,,,%,,,,
LightGasProtect,6001488,轻瓦斯保护,Boolv,,"{""type"":""str"",""map"":{""0"":""正常"",""1"":""保护""}}",,,,,,
CarryingCapacity,6001489,载重,Inst,2,,,kg,,,,
AuxiliaryHeatP,6001490,辅热设备加热功率,Num,,,,kW,,,,
RadiationP,6001491,辐射强度,Inst,2,,,W/m2,,,,
InputP,6001492,输入功率,Inst,2,,,W,,,,
InPowerFactor,6001493,输入功率因数,Inst,2,,,,,,,
InputU,6001494,输入电压,Inst,2,,,V,,,,
InSignalU,6001495,输入电压信号,Inst,2,,,V,,,,
InputI,6001496,输入电流,Inst,2,,,A,,,,
InType,6001497,输入线连接,Boolv,,"{""type"":""str"",""map"":{""0"":""其他线路输入"",""1"":""火警触发输入""}}",,,,,,
InFreq,6001498,输入频率,Inst,2,,,Hz,,,,
OutputP,6001499,输出功率,Inst,2,,,kW,,,,
OutPutFactor,6001500,输出功率因数,Inst,2,,,,,,,
OutputU,6001501,输出电压,Inst,2,,,V,,,,
OutSignalU,6001502,输出电压信号,Inst,2,,,V,,,,
OutputI,6001503,输出电流,Inst,2,,,A,,,,
OutType,6001504,输出线连接,Enumv,,"{""type"":""str"",""map"":{""1"":""线路输出"",""2"":""定压输出"",""99"":""其他""}}",,,,,,
OutLoad,6001505,输出负载,Num,,,,Ω,,,,
OutFreq,6001506,输出频率,Inst,2,,,Hz,,,,
TransFreq,6001507,输电频率,Inst,2,,,Hz,,,,
OverIProtect,6001508,过流保护,Boolv,,"{""type"":""str"",""map"":{""0"":""正常"",""1"":""保护""}}",,,,,,
OverIAccelerateProtect,6001509,过流加速保护,Boolv,,"{""type"":""str"",""map"":{""0"":""正常"",""1"":""保护""}}",,,,,,
OverIAccelerateAlarm,6001510,过流加速告警,Bool,,"{""type"":""str"",""map"":{""0"":""正常"",""1"":""报警""}}",,,,,,
OverIAlarm,6001511,过流告警,Bool,,"{""type"":""str"",""map"":{""0"":""正常"",""1"":""报警""}}",,,,,,
FilterOutPress,6001512,过滤器出口压力,Inst,2,,,MPa,,,,
FilterV,6001513,过滤器滤速,Inst,2,,,m/s,,,,
FilterInPress,6001514,过滤器进口压力,Inst,2,,,MPa,,,,
FilterFaceVelocity,6001515,过滤器面风速,Inst,2,,,m/s,,,,
RatedFilterRatio,6001516,过滤效率,Inst,2,,,%,,,,
FilterAirPress,6001517,过滤段后压力,Inst,2,,,Pa,,,,
FiltAirPM,6001518,过滤段后颗粒度浓度,Inst,2,,,mg/m3,,,,
FilterAirPM,6001519,过滤段后颗粒物浓度,Inst,2,,,mg/m3,,,,
FilterStatus,6001520,过滤段滤网工作状态,Inst,2,"{""type"":""str"",""map"":{""1"":""正常"",""2"":""需更换"",""99"":""其他""}}",,,,,,
FiltEff,6001521,过滤段过滤效率,Inst,2,,,%,,,,
OverTempProtect,6001522,过热保护,Boolv,,"{""type"":""str"",""map"":{""0"":""正常"",""1"":""保护""}}",,,,,,
OverTempAlarm,6001523,过热告警,Bool,,"{""type"":""str"",""map"":{""0"":""正常"",""1"":""报警""}}",,,,,,
OverUProtect,6001524,过电压保护,Boolv,,"{""type"":""str"",""map"":{""0"":""正常"",""1"":""保护""}}",,,,,,
OverUAlarm,6001525,过电压告警,Bool,,"{""type"":""str"",""map"":{""0"":""正常"",""1"":""报警""}}",,,,,,
OverLoadProtect,6001526,过负荷保护,Boolv,,"{""type"":""str"",""map"":{""0"":""正常"",""1"":""保护""}}",,,,,,
OverLoadAlarm,6001527,过负荷告警,Bool,,"{""type"":""str"",""map"":{""0"":""正常"",""1"":""报警""}}",,,,,,
MoveDirect,6001528,运行方向,Enumv,,"{""type"":""str"",""map"":{""1"":""向上"",""2"":""向下"",""3"":""静止"",""99"":""其他""}}",,,,,,
RunMode,6001529,运行模式,Enum,,"{""type"":""str"",""map"":{""99"":""其他""}}",,,,,,
RunStatus,6001530,运行状态,Bool,2,"{""type"":""str"",""map"":{""0"":""停止"",""1"":""运行""}}",,,,,,
RunU,6001531,运行电压,Inst,2,,,V,,,,
OperateI,6001532,运行电流,Inst,2,,,A,,,,
MoveV,6001533,运行速度,Inst,2,,,m/s,,,,
RunFreq,6001534,运行频率,Inst,2,,,Hz,,,,
EnterFlow,6001535,进入人流量,Num,,,,人次/min,,,,
InPress,6001536,进口压力,Inst,2,,,MPa,,,,
WaterInPress,6001537,进口水压,Inst,2,,,MPa,,,,
WaterInletTemp,6001538,进口水温,Inst,2,,,℃,,,,
InFlowV,6001539,进口流速,Inst,2,,,m/s,,,,
InTemp,6001540,进口温度,Inst,2,,,℃,,,,
InAirPress,6001541,进口空气压力,Inst,2,,,Pa,,,,
AirInLampblack,6001542,进口空气带油量,Inst,2,,,mg/m3,,,,
AirInToxicGas,6001543,进口空气有毒气体浓度,Inst,2,,,mol/L,,,,
AirInTemp,6001544,进口空气温度,Inst,2,,,℃,,,,
AirInRH,6001545,进口空气相对湿度,Inst,2,,,%RH,,,,
AirInPM,6001546,进口空气颗粒物浓,Inst,2,,,mg/m3,,,,
OdorIn,6001547,进口臭气浓度,Inst,2,,,,,,,
InVaporPress,6001548,进口蒸汽压力,Inst,2,,,MPa,,,,
WindInPress,6001549,进口风压,Inst,2,,,Pa,,,,
InWindV,6001550,进口风速,Num,,,,m/s,,,,
WaterInTowerPress,6001551,进塔水压力,Inst,2,,,MPa,,,,
WaterInTowerTemp,6001552,进塔水温,Inst,2,,,℃,,,,
InValveSwitch,6001553,进塔水阀开关,Boolv,,"{""type"":""str"",""map"":{""0"":""关闭"",""1"":""开启""}}",,,,,,
InValveOpening,6001554,进塔水阀开度,Inst,2,,,%,,,,
AirInTowerTemp,6001555,进塔空气温度,Inst,2,,,℃,,,,
AirInTowerRH,6001556,进塔空气湿度,Inst,2,,,%RH,,,,
WaterInlerPress,6001557,进水压力,Inst,2,,,MPa,,,,
WaterInPressuer,6001558,进水口压力,Inst,2,,,MPa,,,,
SewageInOil,6001559,进水含油浓度,Inst,2,,,mg/L,,,,
WaterInFlow,6001560,进水流量,Inst,2,,,m3/h,,,,
WaterInTemp,6001561,进水温度,Inst,2,,,℃,,,,
InFreeGas,6001562,进水游离气体含量,Inst,2,,,mL/m3,,,,
InDissolvedGas,6001563,进水溶解气体含量,Inst,2,,,mL/m3,,,,
WaterInHardness,6001564,进水硬度,Inst,2,,,mg/L,,,,
InPipPress,6001565,进液管压力,Inst,2,,,MPa,,,,
In1TripSwitch,6001566,进线1跳位开入,Boolv,,"{""type"":""str"",""map"":{""0"":""正常"",""1"":""动作""}}",,,,,,
In2TripSwitch,6001567,进线2跳位开入,Boolv,,"{""type"":""str"",""map"":{""0"":""正常"",""1"":""动作""}}",,,,,,
AirInPress,6001568,进风压力,Inst,2,,,Pa,,,,
IntakeAirTemperature,6001569,进风温度,Numr,,,,℃,,,,
SupplyAirPress,6001570,送风压力,Inst,2,,,Pa,,,,
SupplyFanRunNum,6001571,送风机开启台数,Num,,,,台,,,,
SupplyFanRunStatus,6001572,送风机开启状态,Bools,,"{""type"":""str"",""map"":{""0"":""关闭"",""1"":""开启""}}",,,,,,
SupplyFanGear,6001573,送风机档位,Enumv,,"{""type"":""str"",""map"":{""1"":""低档"",""2"":""中档"",""3"":""高档"",""99"":""其他""}}",,,,,,
SupplyFanRPM,6001574,送风机转速,Inst,2,,,rpm,,,,
SupplyFanPressStatus,6001575,送风机送风状态,Boolv,,"{""type"":""str"",""map"":{""0"":""未正常送风"",""1"":""正常送风""}}",,,,,,
SupplyFanFreq,6001576,送风机频率,Inst,2,,,Hz,,,,
SupplyAirTemp,6001577,送风温度,Inst,2,,,℃,,,,
SupplyAirRH,6001578,送风相对湿度,Inst,2,,,%RH,,,,
SupplyAirFlow,6001579,送风量,Inst,2,,,m3/h,,,,
SupplyAirValveOpening,6001580,送风阀开度,Inst,2,,,%,,,,
SupplyStaticPress,6001581,送风静压点压力,Num,,,,Pa,,,,
SupplyAirPM,6001582,送风颗粒物浓度,Inst,2,,,mg/m3,,,,
InvertEfficiency,6001583,逆变效率,Inst,2,,,%,,,,
HCoolP,6001584,逐时供冷量,Num,,,,kW,,,,
HSupplyPress,6001585,逐时供水压力,Inst,2,,,MPa,,,,
HHeatS,6001586,逐时供热量,Num,,,,kW,,,,
FreshAirVolumn,6001587,逐时新风量,Inst,2,,,m3/h,,,,
HWaterFlow,6001588,逐时水流量,Inst,2,,,m3/h,,,,
CoolConsumP,6001589,逐时用冷量,Inst,2,,,kW,,,,
HHeatConsumP,6001590,逐时用热量,Inst,2,,,kW,,,,
DieselConsumP,6001591,逐时耗燃油量,Inst,2,,,L/h,,,,
HCoolStoreP,6001592,逐时蓄冷功率,Num,,,,kW,,,,
HCoolReleaseP,6001593,逐时释冷功率,Num,,,,kW,,,,
NoticeStatus,6001594,通知状态,Enum,,"{""type"":""str"",""map"":{""1"":""未查看"",""2"":""已查看""}}",,,,,,
PassDirection,6001595,通行方向,Boolv,,"{""type"":""str"",""map"":{""0"":""反向"",""1"":""正向""}}",,,,,,
CommunicateStatus,6001596,通讯状态,Enumv,,"{""type"":""str"",""map"":{""1"":""正常"",""2"":""故障"",""3"":""断线"",""99"":""其他""}}",,,,,,
CallStatus,6001597,通话状态,Boolv,,"{""type"":""str"",""map"":{""0"":""未通话"",""1"":""通话中""}}",,,,,,
MediumTemp,6001598,通过流体温度,Inst,2,,,℃,,,,
PassI,6001599,通过电流,Inst,2,,,A,,,,
AirPassV,6001600,通过风速,Inst,2,,,m/s,,,,
Speed,6001601,速度,Inst,2,,,m/s,,,,
VOutU,6001602,速度传感器输出电压,Inst,2,,,V,,,,
VOutI,6001603,速度传感器输出电流,Inst,2,,,A,,,,
MV,6001604,速度传感器速度测量值,Inst,2,,,m/s,,,,
VelocityHorizontalDirection,6001605,速度水平方向,Inst,2,,,°,,,,
V,6001606,速度测量值,Num,,,,m/s,,,,
VelocityVerticalDirection,6001607,速度竖直方向,Inst,2,,,°,,,,
InstTripProtect,6001608,速断保护,Boolv,,"{""type"":""str"",""map"":{""0"":""正常"",""1"":""保护""}}",,,,,,
DepartmentStatus,6001609,部门状态,Enum,,"{""type"":""str"",""map"":{""0"":""未启用"",""1"":""启用""}}",,,,,,
FanStatus,6001610,配套风机启停状态,Boolv,,"{""type"":""str"",""map"":{""0"":""关闭"",""1"":""运行""}}",,,,,,
CapRate,6001611,配电容量负荷率,Inst,2,,,%,,,,
ReclosingChargeStatus,6001613,重合闸充电状态,Boolv,,"{""type"":""str"",""map"":{""0"":""已充满电"",""1"":""正在充电""}}",,,,,,
HeavyGasProtect,6001614,重瓦斯保护,Boolv,,"{""type"":""str"",""map"":{""0"":""正常"",""1"":""保护""}}",,,,,,
LockStatus,6001615,锁梯状态,Boolv,,"{""type"":""str"",""map"":{""0"":""未锁梯"",""1"":""锁梯""}}",,,,,,
BoilerHeatEff,6001616,锅炉热效率,Inst,2,,,%,,,,
BoilerLoad,6001617,锅炉负荷,Inst,2,,,kW,,,,
LongWaveRadiation,6001618,长波辐射,Inst,2,,,W/m2,,,,
DoorOpening,6001619,门开启百分比,Inst,2,,,%,,,,
EGWTStatus,6001620,门禁对讲机状态,Enumv,,"{""type"":""str"",""map"":{""1"":""发射"",""2"":""接收"",""3"":""同时收发"",""4"":""待机"",""99"":""其他""}}",,,,,,
AcessSwitchStatus,6001621,门禁点开关状态,Bools,,"{""type"":""str"",""map"":{""0"":""关"",""1"":""开""}}",,,,,,
AlarmStatus,6001622,门禁点报警状态,Enum,,"{""type"":""str"",""map"":{""1"":""正常"",""2"":""报警"",""3"":""试验"",""99"":""其他""}}",,,,,,
BlockSecSwitch,6001623,闭锁投分段,Boolv,,"{""type"":""str"",""map"":{""0"":""正常"",""1"":""动作""}}",,,,,,
BlockIn1Switch,6001624,闭锁投进线1,Boolv,,"{""type"":""str"",""map"":{""0"":""正常"",""1"":""动作""}}",,,,,,
BlockIn2Switch,6001625,闭锁投进线2,Boolv,,"{""type"":""str"",""map"":{""0"":""正常"",""1"":""动作""}}",,,,,,
BlockRecloseSwitch,6001626,闭锁重合闸,Boolv,,"{""type"":""str"",""map"":{""0"":""正常"",""1"":""动作""}}",,,,,,
ProblemStatus,6001627,问题状态,Enum,,"{""type"":""str"",""map"":{""1"":""待处理"",""2"":""已处理"",""3"":""已关闭""}}",,,,,,
ValveOutPress,6001628,阀门出口压力,Inst,2,,,Pa,,,,
ValveOpening,6001629,阀门开度,Inst,2,,,%,,,,
ValveInPress,6001630,阀门进口压力,Inst,2,,,Pa,,,,
1stLevPersonNum,6001631,防区一等人员人数,Num,,,,人,,,,
ProfessionalPersonNum,6001632,防区专业队员人数,Num,,,,人,,,,
2ndLevPersonNum,6001633,防区二等人员人数,Num,,,,人,,,,
DefensePersonNum,6001634,防区人数,Num,,,,人,,,,
FireShutterStatus,6001635,防火卷帘门动作状态,Bools,,"{""type"":""str"",""map"":{""0"":""正常"",""1"":""动作""}}",,,,,,
FireDamperStatus,6001636,防火阀开启状态,Bools,,"{""type"":""str"",""map"":{""0"":""关闭"",""1"":""开启""}}",,,,,,
Precipitation,6001637,降水量,Inst,2,,,mm,,,,
TimeLimitInstTripProtect,6001638,限时速断保护,Boolv,,"{""type"":""str"",""map"":{""0"":""正常"",""1"":""保护""}}",,,,,,
RemoveOilEff,6001639,除油效率,Inst,2,,,%,,,,
RemoveLampblackEff,6001640,除油烟效率,Num,,,,%,,,,
DeD,6001641,除湿量,Inst,2,,,g/h,,,,
DisconnectorStatus,6001642,隔离开关状态,Bool,,"{""type"":""str"",""map"":{""0"":""分闸"",""1"":""合闸""}}",,,,,,
CollectBasinVolume,6001643,集水坑储水量,Num,,,,m3,,,,
CollectorTemp,6001644,集热器内温度,Num,,,,℃,,,,
CollectorEff,6001645,集热器效率,Num,,,,%,,,,
CollectHeatEff,6001646,集热效率,Inst,2,,,%,,,,
ZeroSeqU,6001647,零序电压,Inst,2,,,V,,,,
ZeroSeqI,6001648,零序电流,Inst,2,,,A,,,,
ZeroSeqOverUProtect,6001649,零序过压保护,Boolv,,"{""type"":""str"",""map"":{""0"":""正常"",""1"":""保护""}}",,,,,,
ZeroSequenceOverUAlarm,6001650,零序过压告警,Bool,,"{""type"":""str"",""map"":{""0"":""正常"",""1"":""报警""}}",,,,,,
ZeroSeqOverISec3Protect,6001651,零序过流III段保护,Boolv,,"{""type"":""str"",""map"":{""0"":""正常"",""1"":""保护""}}",,,,,,
ZeroSeqOverISec3InverseTimeProtect,6001652,零序过流III段反时限保护,Boolv,,"{""type"":""str"",""map"":{""0"":""正常"",""1"":""保护""}}",,,,,,
ZeroSeqOverISec2Protect,6001653,零序过流II段保护,Boolv,,"{""type"":""str"",""map"":{""0"":""正常"",""1"":""保护""}}",,,,,,
ZeroSeqOverISec1Protect,6001654,零序过流I段保护,Boolv,,"{""type"":""str"",""map"":{""0"":""正常"",""1"":""保护""}}",,,,,,
ZeroSeqOverIProtect,6001655,零序过流保护,Boolv,,"{""type"":""str"",""map"":{""0"":""正常"",""1"":""保护""}}",,,,,,
ZeroSequenceOverIAlarm,6001656,零序过流告警,Bool,,"{""type"":""str"",""map"":{""0"":""正常"",""1"":""报警""}}",,,,,,
NeedStopNum,6001657,需停站个数,Inst,2,,,个,,,,
NeedStopFloor,6001658,需停站位置,Insts,,,,,,,,
NonElecProtect,6001659,非电量保护,Boolv,,"{""type"":""str"",""map"":{""0"":""正常"",""1"":""保护""}}",,,,,,
Volume,6001660,音量,Inst,2,,,dB（A),,,,
Freq,6001661,频率,Inst,2,,,Hz,,,,
FreqBias,6001662,频率偏差,Inst,2,,,Hz,,,,
FreqParameter,6001663,频率参数,Inst,2,,,Hz,,,,
FreqDrift,6001664,频率漂移量,Num,,,,Hz,,,,
PMPurifyEff,6001665,颗粒物净化效率,Inst,2,,,%,,,,
Wind,6001666,风向,Inst,2,,,°,,,,
FanWorkFreq,6001667,风机工作频率,Inst,2,,,Hz,,,,
FanRunNum,6001668,风机开启台数,Inst,2,,,台,,,,
FanRunPct,6001669,风机开启百分比,Num,,,,%,,,,
FanHead,6001670,风机扬程,Inst,2,,,Pa,,,,
FanEff,6001671,风机效率,Inst,2,,,%,,,,
FanGear,6001672,风机档位,Enumv,,"{""type"":""str"",""map"":{""1"":""高档"",""2"":""中档"",""3"":""低档"",""99"":""其他""}}",,,,,,
FanLoad,6001673,风机负荷,Inst,2,,,kW,,,,
FanRPM,6001674,风机转速,Inst,2,,,rpm,,,,
WTFfan,6001675,风机输配系数,Inst,2,,,,,,,
FanRunFreq,6001676,风机运行频率,Insts,,,,Hz,,,,
FanFreq,6001677,风机频率,Inst,2,,,Hz,,,,
WindV,6001678,风速,Num,,,,,,,,
WindVolume,6001679,风量,Inst,2,,,m3/h,,,,
AirValveOpening,6001680,风阀开度,Inst,2,,,%,,,,
DrinkSupplyFlow,6001681,饮用水供水量,Num,,,,m3/h,,,,
HUAPhaseU,6001682,高压侧A相电压,Inst,2,,,kV,,,,
HUAPhaseI,6001683,高压侧A相电流,Inst,2,,,A,,,,
HUBPhaseU,6001684,高压侧B相电压,Inst,2,,,kV,,,,
HUBPhaseI,6001685,高压侧B相电流,Inst,2,,,A,,,,
HUCPhaseU,6001686,高压侧C相电压,Inst,2,,,kV,,,,
HUCPhaseI,6001687,高压侧C相电流,Inst,2,,,A,,,,
HUU,6001688,高压侧电压,Inst,2,,,kV,,,,
HUI,6001689,高压侧电流,Inst,2,,,A,,,,
HUP,6001690,高压侧负载功率,Inst,2,,,kW,,,,
HULoadRate,6001691,高压侧负载率,Inst,2,,,%,,,,
HUZeroSequenceI,6001692,高压零序电流,Inst,2,,,A,,,,
ElecAccPeakConsum,6001693,高峰时段累计电量测量值,Num,,,,kWh,,,,
AccHighGearRunTime,6001694,高档位累计运行,Acc,,,,h,,,,
HighVaporPress,6001695,高温侧供蒸汽压力,Inst,2,,,MPa,,,,
HighCondenseWaterTemp,6001696,高温侧凝水温度,Inst,2,,,℃,,,,
HighOutPress,6001697,高温侧出水压力,Inst,2,,,MPa,,,,
HighOutTemp,6001698,高温侧出水温度,Inst,2,,,℃,,,,
HighValveSwitch,6001699,高温侧水阀开关,Boolv,,"{""type"":""str"",""map"":{""0"":""关闭"",""1"":""开启""}}",,,,,,
HighValveOpening,6001700,高温侧水阀开度,Inst,2,,,%,,,,
HighFlow,6001701,高温侧瞬时流量,Inst,2,,,m3/h,,,,
HighVaporFlow,6001702,高温侧瞬时蒸汽流量,Inst,2,,,t/h,,,,
HighVaporValveSwitch,6001703,高温侧蒸汽阀开关,Boolv,,"{""type"":""str"",""map"":{""0"":""关闭"",""1"":""开启""}}",,,,,,
HighVaporValveOpening,6001704,高温侧蒸汽阀开度,Inst,2,,,%,,,,
HighInPress,6001705,高温侧进水压力,Inst,2,,,MPa,,,,
HighInTemp,6001706,高温侧进水温度,Inst,2,,,℃,,,,
FlowAccVolume,6001833,累计流量测量值,Num,1,,,m3,,,,
TVOCConcentration,6002107,TVOC浓度,Num,2,,,ppb,,ENV,"[{""type"":""优"",""grade"":0,""max"":441.5,""min"":0,""color"":""#49dbdf""},{""type"":""良"",""grade"":1,""max"":1000,""min"":441.5,""color"":""#099dfb""},{""type"":""中"",""grade"":2,""max"":2000,""min"":1000,""color"":""#fdb664""},{""type"":""差"",""grade"":3,""max"":3000,""min"":2000,""color"":""#ff5757""},{""type"":""极差"",""grade"":4,""max"":null,""min"":3000,""color"":""rgb(209, 54, 209)""},{""type"":""数据中断"",""grade"":9,""max"":null,""min"":null,""color"":""#A29F9F""}]",fa fa-solid fa-temperature-half
ElectricalConductivity,6002109,电导率,Num,2,,,us/cm,在介质中该量与电场强度E之积等于传导电流密度J。对于各向同性介质，电导率是标量；对于各向异性介质，电导率是张量。生态学中，电导率是以数字表示的溶液传导电流的能力。,WAT,,fa fa-brands fa-cloudsmith
ResidualChlorine,6002110,余氯,Num,2,,,mg/L,"是氯消毒的水质参数。水与所加的氯反应后水中剩余的有效氯总量,单位为毫克/升。处理生活饮用水时，常用氯气或某些氯化合物（如次氯酸盐、氯胺化合物）消毒。有时也用氯气氧化污染较严重的原水以改善水质。",WAT,,fa fa-solid fa-viruses
DissolvedOxygen,6002111,溶解氧,Num,2,,,mg/L,溶解于水中的分子态氧称为溶解氧，通常记作DO，用每升水里氧气的毫克数表示。水中溶解氧的多少是衡量水体自净能力的一个指标。,WAT,,fa fa-solid fa-code-compare
Turbidity,6002112,浊度,Num,2,,,NTU,浊度是指溶液对光线通过时所产生的阻碍程度，它包括悬浮物对光的散射和溶质分子对光的吸收。水的浊度不仅与水中悬浮物质的含量有关，而且与它们的大小、形状及折射系数等有关。,WAT,,fa fa-thermometer-half
ORP,6002113,ORP,Num,2,,,mV,氧化还原电位就是用来反映水溶液中所有物质表现出来的宏观氧化还原性。氧化还原电位越高，氧化性越强，氧化还原电位越低，还原性越强。电位为正表示溶液显示出一定的氧化性，为负则表示溶液显示出一定的还原性。,WAT,,fa fa-regular fa-circle
PH0,6002114,酸碱度,Num,2,,,,酸碱度描述的是水溶液的酸碱性强弱程度，用pH来表示。热力学标准状况时，pH=7的水溶液呈中性，pH<7者显酸性，pH>7者显碱性。,WAT,,fa fa-solid fa-atom
CooltAccCool,6002115,累计冷量测量值,Num,1,,,GJ,,,,
EffectiveRunningTime,6002116,有效运行时间,Num,1,,,,,,,
OperatingEquivalent,6002117,运行当量,Num,1,,,,,,,
ProportionOfApportionment,6002118,分摊比例,Num,2,,,,,,,
IndoorWaterFlow,6002119,室内侧水流量,Num,2,,,m3,,,,
OutdoorWaterFlowRate,6002120,室外侧水流量,Num,2,,,m3,,,,
OutdoorWaterPressout,6002121,室外侧出口水压,Num,2,,,MPa,,,,
OutdoorWaterPressIn,6002122,室外侧入口水压,Num,2,,,MPa,,,,
IndoorWaterPressout,6002123,室内侧出口水压,Num,2,,,MPa,,,,
IndoorWaterPressIn,6002124,室内侧入口水压,Num,2,,,MPa,,,,
SignalItensity,6002125,信号强度,Num,2,,,dbm,一般为负值,,,
InroomTemp,6002126,室内温度,Num,2,,,℃,,,,
BcBordTemp,6002127,背板温度,Num,2,,,℃,,,,
HeatProduct,6002128,累计发热量,Num,1,,,GJ,,,,
DiffPressure,6002129,压差,Num,2,,,Pa,,,,
ButtonPosInd,6002131,按钮位指示,Bool,2,"{""type"":""str"",""map"":{""0"":""关闭"",""1"":""开启""}}",,,,,,
DamperOpenIndicator,6002132,风阀开指示,Bool,2,"{""type"":""str"",""map"":{""0"":""关闭"",""1"":""开启""}}",,,,,,
DamperCloseIndicator,6002133,风阀关指示,Bool,2,"{""type"":""str"",""map"":{""0"":""开启"",""1"":""关闭""}}",,,,,,
DiffPressureAlarm,6002134,压差报警,Bool,2,"{""type"":""str"",""map"":{""0"":""非报警"",""1"":""报警""}}",,,,,,
CurrentPercentage,6003636,电流百分比,Inst,2,,,%,,,,
CCWaterOutTemp,6005226,冷凝器-冷凝器出水温度,Num,2,,,℃,,,,
EEWaterOutTemp,6005227,蒸发器-蒸发器出水温度,Num,2,,,℃,,,,
CCWaterInTemp,6005228,冷凝器-冷凝器入水温度,Num,2,,,℃,,,,
EEWaterInTemp,6005229,蒸发器-蒸发器入水温度,Num,2,,,℃,,,,
RefrigerationRePressure,6006666,冷机冷凝器冷媒压力,Inst,2,,,Pa,,,,
ChillerEvRePressure,6006667,冷机蒸发器冷媒压力,Inst,2,,,Pa,,,,
CInWaterPressure,6006668,冷凝器入口水压,Inst,2,,,Pa,,,,
EInWaterPressure,6006669,蒸发器入口水压,Inst,2,,,Pa,,,,
n8142002,6142002,注册状态,Enump,2,"{""type"":""str"",""map"":{""0"":""未注册"",""1"":""已注册""}}",,,从站设备是否做过网络参数设置规程。一般情况下，只有做过注册的设备才能正常通讯。,,,
n8142003,6142003,信号强度,Num,2,,,dbm,网关接收信号强度。值越大，设备距离网关越近或者穿墙数越少。,,,
n8142004,6142004,生存期,Num,2,,,秒,用于明确缓存记录的生存期。生存期越大，数据的时效越差。生存期越小，越接近实时数据。,,,
n8142005,6142005,备用,Num,2,,,,用于其它重要网络质量描述字段。,,,
n8142006,6142006,设备类型,Num,2,,,,返回：3001,,,
n8142008,6142008,备用（可能为湿度预留）,Num,2,,,,,,,
n8142009,6142009,当前风速,Enump,2,"{""type"":""str"",""map"":{""0"":""自动"",""1"":""低速"",""2"":""中速"",""3"":""高速""}}",,,在自动风速设定下，实际风速会高中低跳变,,,
n8142010,6142010,冷水阀状态,Enump,2,"{""type"":""str"",""map"":{""0"":""关"",""1"":""开""}}",,,,,,
n8142011,6142011,热水阀状态,Enump,2,"{""type"":""str"",""map"":{""0"":""关"",""1"":""开""}}",,,,,,
n8142016,6142016,总用电量（大端16位）,Num,1,,,,"""可修改。但是修改时，一定要用10命令，一次写2个寄存器。如果用06单个写，将发生不可预估的数据。回绕时的读数差，参考下面42017算法
注：这里的模是1后面六个零，而42017的模是1后面五个零""",,,
n8142017,6142017,总用电量（小端16位）,Num,1,,,,,,,
n8142018,6142018,低速当量时间（大端16位）,Num,1,,,,,,,
n8142019,6142019,低速当量时间（小端16位）,Num,1,,,,,,,
n8142020,6142020,中速当量时间（大端16位）,Num,1,,,,,,,
n8142021,6142021,中速当量时间（小端16位）,Num,1,,,,,,,
n8142022,6142022,高速当量时间（大端16位）,Num,1,,,,,,,
n8142023,6142023,高速当量时间（小端16位）,Num,1,,,,,,,
VRVReturnAirTemp,6342011,多联机回风温度,Num,2,,,℃,,,,
VRVHumidity,6342012,多联机湿度,Num,2,,,%,,,,
VRVAccRunTimeOfDay,6342014,多联机当日累计运行时间,Num,2,,,,,,,
VRVFaultCode,6342015,多联机错误代码,Num,2,,,,,,,
NotEqual,7000000,不等于,Str,,,,,,,,
CloudControlSet,7000001,云端控制设定,Bool,,"{""type"":""str"",""map"":{""0"":""非云端"",""1"":""云端""}}",,,,,,
LowLevelSet,7000002,低液位报警高度设定,Nump,,,,m,,,,
LowValveSwitchSet,7000003,低温侧水阀开关设定,Boolp,,"{""type"":""str"",""map"":{""0"":""关闭"",""1"":""开启""}}",,,,,,
LowValveOpeningSet,7000004,低温侧水阀开度设定,Nump,,,,%,,,,
HeatWaterSupplyTempSet,7000005,供水温度设定,Numr,,,,℃,,,,
ChargeModeSet,7000006,充电方式设定,Enum,,"{""type"":""str"",""map"":{""1"":""均充"",""2"":""浮充"",""99"":""其他""}}",,,,,,
OOutPressSet,7000007,其他水泵出口压力设定,Nump,,"{""type"":""str"",""map"":{""0"":""正常"",""1"":""故障""}}",,MPa,,,,
OEquipSwitchSet,7000008,其他设备开关设定,Bool,,"{""type"":""str"",""map"":{""0"":""关闭"",""1"":""开启""}}",,,,,,
